SurfaceData,TimeCnt,PUP,PUP_RSS,Status_RSR,PumpTime,RTClk,PackageType,RawData_RSR,AccNotDet,MagNotDet,ResNotDet,MotorCalibrated,TransmissionDecoupled,MotorOCLockout,FormationLock,TRPM,TRPMDelta,CRPM,IvtRatioBD,IvtRatioSD,DrillMode,TFSensorSetting,TFTargetSetting,BendTimeSetting%,BendTime%,TFControlEnabled,TFTarget,TFMeasured,TFGrav_RSS,TFDeviation,EROP,IncAziSource,IncSrcStatus,IncTarget,Inc_RSS,IncDelta,AziTarget,Azi_RSS,AziDelta,AziNudge,DL_Received,DL_Ignored,SSModeActive,SSAmp,SSFreq,Temp_RSS,VAlt,VibRMSAxl,VibRMSLat,CRPMGyro_DDD
1,31,1,1,2MWD,0,5/2/2020 11:22,GV0.3,3235,,,,,,,,,,,,,1,,,,,,,,,,90,,,,,,,,,,3,,,,,,,,,
1,31,1,1,2MWD,0,5/2/2020 11:22,GV1.3,3254,,,,,,,,,,,,,,0,257,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31,1,1,2MWD,0,5/2/2020 11:22,GV2.3,3456,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,60,,,,
0,33,1,1,RTClk,0.000555556,5/2/2020 11:22,,5/2/2020 11:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,62,1,1,2MWD,0.008611111,5/2/2020 11:22,GV0.1,1029,0,0,0,1,0,0,0,,,,,,,,,,,1,,,,,,,0,,,,,,,,,,0,,,,,,,
1,62,1,1,2MWD,0.008611111,5/2/2020 11:22,GV1.2,2274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,2,
1,62,1,1,2MWD,0.008611111,5/2/2020 11:22,GV2.1,1054,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,120
1,94,1,1,2MWD,0.0175,5/2/2020 11:23,GV0.3,3235,,,,,,,,,,,,,1,,,,,,,,,,90,,,,,,,,,,3,,,,,,,,,
1,94,1,1,2MWD,0.0175,5/2/2020 11:23,GV1.3,3254,,,,,,,,,,,,,,0,257,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,94,1,1,2MWD,0.0175,5/2/2020 11:23,GV2.3,3456,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,60,,,,
1,124,1,1,2MWD,0.025833333,5/2/2020 11:23,GV0.1,1029,0,0,0,1,0,0,0,,,,,,,,,,,1,,,,,,,0,,,,,,,,,,0,,,,,,,
1,124,1,1,2MWD,0.025833333,5/2/2020 11:23,GV1.2,2274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,2,
1,124,1,1,2MWD,0.025833333,5/2/2020 11:23,GV2.1,1054,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,0,,,,,,,,120
1,156,1,1,2MWD,0.034722222,5/2/2020 11:24,GV0.3,3235,,,,,,,,,,,,,1,,,,,,,,,,90,,,,,,,,,,3,,,,,,,,,
1,156,1,1,2MWD,0.034722222,5/2/2020 11:24,GV1.3,3254,,,,,,,,,,,,,,0,257,,,,,,,,,,,,,,,,,,,,,,,,,,,
